Tag,Question,Responses 
Hi,Hi.,"Hey.-You like action movies?-Sure do.-Cool me too.-Do you have one you like the best?-I really love lethal weapon.-Oh nice, that is a classic.-The old buddy cop action movies are my favorite.-I love those."
Thats,"I love all the taken movies
Me too
""I dont know who you are...""
Thats classic
They were so good
They were, they need to make more of those
I would watch them
Same here
I own them all
I want to buy them",
Jason,How many Jason Bourne movies have they made?,"Four I think.-The whole franchise has kind of run together at this point.-I'd agree.-Seems like they are out of ideas as he can only run from the government so much.-And Matt Damon ain't getting younger.-He must be at least 40 now.-The age doesn't bother me, but I just don't think there's much more of a story to tell.-The last movie was a bit of a drag.-Yeah, felt like a 'been there, done that' type of thing.-At least you get to see a lot of worldly locations in the films.-Very true - haven't seen them in Utah yet."
James,Who's your favorite James Bond?,"Sean Connery, without a doubt!-Mine too, but Roger Moore was pretty good.-I think he did more Bond films than the rest of them put together.-Who's next in line?-Well Craig has been doing it...-He's gotta be about ready to give it up.-I thought I read that he was done after Spectre.-They'll probable offer him a ton of money.-I'll bet!"
Da,I just saw The Da Vinci Code.,"Based on the Dan Brown novel?-Yes.-Who's the French girl in that?-Audrey Tautou, from Amelie.-Right, with the ever cool Tom Hanks.-Yes, directed by Opie himself, Ron Howard.-What was the weird religiou group?-Opus Dei.-Right, I think there is a real group by that name."
Tom,Have you seen that new movie with Tom Cruise?,"I don't think I have, whats it called?-The Edge of Tomorrow.-Oh, I have actually heard of that.-Is it any good?-Yes, I loved it.-A lot of action.-What is it about?-Basically machines from an alien planet are taking over the world and they can predict all human movements.-Wow, that really sounds intense.-Yep, I highly recommend watching it.-I will have to check it out sometime."
The,"Were you a big fan of The Matrix
I liked the first one, but the other ones were pretty bad
Yeah, the first one was really new and fresh
Had a lot of cool special effects
Not sure if I ever followed the actual story line
Right, when you strip out all the action and effects, the story line is pretty lame
Something about red and blue pills
Well there's that and how the world isn't what it seems
Yeah, pretty weird
Too sci fi for my taste",
Have,Have you ever seen any action movies from the 70s?,"I saw The French Connection.-I think I've heard of it.-Who is in that?-Gene Hackman stars and Roy Scheider costars.-Would you recommend it?-Absolutely.-The chase scenes are very well done and the acting was top notch.-I've heard about the chase scene that's supposed to be one of the best ever.-Yeah, it is as good as they say in my opinion.-What did you think of Gene Hackman?-He was fantastic, as always."
Jurassic,What do you think of the Jurassic Park sequels?,"Lost World was okay.-What did you think of the third?-It's underrated.-It's pretty entertaining, I think.-I just don't like that Tea Leoni is in it; I don't like her.-Me neither.-Jurassic World was a lot of fun to watch but doesn't stand up over time.-Really?-Yeah, I own it, and watched it twice, but not in over a year.-Why?-Too unbelievable, bad parenting like crazy."
Matrix,What did you think of the final Matrix movie?,"Revolutions?-Yup, that one.-It was too preachy.-I think it would have been fine if they didn't rush it.-What do you mean?-Remember, parts 2 and 3 came out in May and November of the same year?-That explains the crap CGI.-The script, too, it was awful.-Could have been less obvious with the Jesus reference, too."
What,What's the best action movie ever made?,"Die hard without a doubt.-Why die hard?-I mean I enjoy it, but best of all time?-John McClane is such a great action character and Bruce Willis is great in the role.-I'll give you that, but better than some of Jackie Chan's early stuff?-Better than The Terminator?-It's absolutely better than both, don't get me wrong I love Arnold's classic Terminator role as much as the next guy.-I would take any of The Terminator films over any of The Die Hard Films.-Even the one that didn't include Arnold Schwarzenegger in the cast at all?-Absolutely, Die Hard just never really did it for me in a major way.-You're missing out, John McClane would totally terminate the Terminator"
Hey,"Hey, what was the movie where the guy went on a rampage after his dog got killed?","I think you are thinking of John Wick.-Yep, that's the one!-Have you seen it yet?-I was thinking about it.-Is it good?-Yeah it's fantastic.-What's so good about it?-There's a vast underground world of assassins which John Wick has to navigate and interact with.-Oh that does sound fun.-Are the fight scenes good?-Yeah, the action scenes are some of the best i've ever seen."
Magnificent,I saw The Magnificent Seven last night on DVD.,"The reboot?-Yes, not the 1960 version with Yul Brynner.-Who directed?-Antoine Fuqua.-Who plays the leader?-Denzel Washington.-Who is the side kick?-Chris Pratt.-I hope it was as good as the original.-Probably not."
Jones,Indiana Jones is my favoeite action movie.,"What was the best parts of Indiana Jones?-:Remember when the bad guy pulls out 2 swords and start swinging them in a crazy way?-Yeah, Indiana just pulls out his gun a shoots him.-Hilarious.-What was  your favorite part?-When the bad guys open the Ark even though Indy told them not to and their faces melted.-Yeah, I think Indiana covered his eyes right?-Yes that's why he lived.-Speilberg's the best.-Yes, for a while all he did was make hits."
What,What action movies do you recommend me to see this summer?,"Personally I'd recommend Wonder Woman.-I'm a bit skeptical when it comes to that movie.-I really feel it's over hyped because it's a chick.-Honestly the movie is good, I won't lie to you it does a bit of the whole ""girl power"" crap but not so much where you get turned off.-So what is the movie about?-Origin story or something else?-Yup it's basically just like the comics.-Set in world war 2, meets that stranded pilot,etc.-You know how the story goes.-So she helps end world war 2?-Yeah, well she basically ends it herself, but the guys help too.-Seriously?-If it's overdone just let me know now so I don't waste my time.-No it's very enjoyable.-You won't even think about all the girl power junk in it if you are a fan of the comic and character."
What,What's the best action movie you have seen in the 10 years.,"That would have to be Crank.-That movie was constant action.-I would have to agree with you.-It was non-stop from the beginning to the end.-There were quite a bit of memorable scenes in that movie.-Jason Stathum has got to be one of the best action movie stars today.-He has been in a lot of good ones.-I wouldn't expect to see him in a romantic comedy anytime soon.-Are there any other action movies that stick out to you.-Definitely, I really like the Die Hard movies.-Some people consider the original Die Hard to be a Christmas movie.-That is funny.-I don't know about it being a Christmas movie, but it is one of the all-time best action movies."
